id,index_time,author,description,keywords,license_url,source_file_path,source_file_offset,url,title,domain
"20200327144602/UZMYMG0t6UIxZVjCZwGHHw==","Mon Oct 16 13:01:09 GMT 2023","","WOMEN'S WAR WORK DURING THE FIRST WORLD WAR (HU 70114) Women munitions workers' football team from the AEC Munitions Factory at Beckton, London. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205124205","","","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","153420317","https://media.iwm.org.uk/ciim5/20/655/large_000000.jpg","WOMEN'S WAR WORK DURING THE FIRST WORLD WAR","iwm.org.uk"
"20200327144852/U9pCOxR+B+3VhqgA84V6fw==","Mon Oct 16 13:01:29 GMT 2023","","WAR MEMORIALS IN BRITAIN AFTER THE FIRST WORLD WAR (Q 48872) War Memorial at Kew. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205084585","","","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","217537164","https://media.iwm.org.uk/ciim5/315/980/large_000000.jpg","WAR MEMORIALS IN BRITAIN AFTER THE FIRST WORLD WAR","iwm.org.uk"
"20200327203854/+oVS4LYEGle/Y29GOPFtZA==","Mon Oct 16 13:06:04 GMT 2023","","WAR MEMORIALS IN BRITAIN AFTER THE FIRST WORLD WAR (Q 48871) War Memorial at Richmond. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205084582","","","/host_dir/MW-TNAUKGWA-41399-000-20200327203254-www.gov.uk-00036.warc.gz","142941992","https://media.iwm.org.uk/ciim5/315/979/large_000000.jpg","WAR MEMORIALS IN BRITAIN AFTER THE FIRST WORLD WAR","iwm.org.uk"
"20200327143819/JSpnCrY8t+2JAsAfJb6MLw==","Mon Oct 16 13:13:42 GMT 2023","","THE IMPERIAL WAR MUSEUM DURING THE SECOND WORLD WAR (MH 127) Air raid damage to the Naval Gallery at the Imperial War Museum, London, 31 January 1941. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205219844","","","/host_dir/MW-TNAUKGWA-41399-000-20200327142321-www.gov.uk-00009.warc.gz","495097909","https://media.iwm.org.uk/ciim5/61/89/large_000000.jpg","THE IMPERIAL WAR MUSEUM DURING THE SECOND WORLD WAR","iwm.org.uk"
"20200327144512/JdZGoXO5RriE3/39iwvpzA==","Mon Oct 16 13:01:04 GMT 2023","","THE CABINET WAR ROOMS (HU 43777) George Rance, the Clerk and Custodian of the Cabinet War Rooms, adjusting the weather indicator boards in the main corridor of the Cabinet War Rooms. When a heavy raid was in progress above, Rance, as a private joke, would put up the board bearing the word 'Windy'. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205094719","","","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","109517075","https://media.iwm.org.uk/ciim5/16/787/large_000000.jpg","THE CABINET WAR ROOMS","iwm.org.uk"
"20200327211456/KyG2Uwa1ATvW88+r/9I+2A==","Mon Oct 16 13:05:16 GMT 2023","","THE ROAD TO WAR (Q 81763) German troop train Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205092979","","","/host_dir/MW-TNAUKGWA-41399-000-20200327211003-www.gov.uk-00038.warc.gz","172905477","https://media.iwm.org.uk/ciim5/299/329/large_000000.jpg","THE ROAD TO WAR","iwm.org.uk"
"20200327215059/9PJjGJEjBvx/LzZlsR0QKw==","Mon Oct 16 12:54:04 GMT 2023","","HISTORY OF THE IMPERIAL WAR MUSEUM, FROM MARCH 1917 (Q 2943) Various items of war materiel, collected and stored at the National War Museum Store at Hesdin, September 1917. The National War Museum was renamed Imperial War Museum in November 1917. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205079884","","","/host_dir/MW-TNAUKGWA-41399-000-20200327214317-www.gov.uk-00040.warc.gz","301494872","https://media.iwm.org.uk/ciim5/229/585/large_000000.jpg","HISTORY OF THE IMPERIAL WAR MUSEUM, FROM MARCH 1917","iwm.org.uk"
"20200327171532/rKP4ou2EzwBl342BzU2Kmg==","Mon Oct 16 12:59:24 GMT 2023","","War pigeon illustration","","","/host_dir/MW-TNAUKGWA-41399-000-20200327171311-www.gov.uk-00023.warc.gz","61735077","https://cdn.nationalarchives.gov.uk/blog/wp-content/uploads/2015/09/01160009/WO-208_3508-_2_1917-1918-image-for-blog-header1.jpg","","nationalarchives.gov.uk"
"20200327212431/FzAt5MotG9oqHYlxAiEuTg==","Mon Oct 16 13:06:11 GMT 2023","","ANIMALS IN WAR 1914 - 1918 (Q 55233) Carrier pigeons: French troops with two carrier pigeons strapped in their travelling basket. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205194800","","","/host_dir/MW-TNAUKGWA-41399-000-20200327211003-www.gov.uk-00038.warc.gz","406655663","https://media.iwm.org.uk/ciim5/37/811/large_000000.jpg","ANIMALS IN WAR 1914 - 1918","iwm.org.uk"
"20200327211934/VEyAKzb5gTH53UJS9AjjcQ==","Mon Oct 16 13:05:46 GMT 2023","","ANIMALS IN WAR 1914 - 1918 (Q 54973) Transport Animals: Dromedary camels fitted with cacolet panniers carry wounded men to safety on the North West Frontier of India. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205194795","","","/host_dir/MW-TNAUKGWA-41399-000-20200327211003-www.gov.uk-00038.warc.gz","303883583","https://media.iwm.org.uk/ciim5/37/806/large_000000.jpg","ANIMALS IN WAR 1914 - 1918","iwm.org.uk"
