id,index_time,author,description,keywords,license_url,url,image_size,source_file_path,source_file_offset
"20200327144602/UZMYMG0t6UIxZVjCZwGHHw==","Mon Oct 16 13:01:09 GMT 2023","","WOMEN'S WAR WORK DURING THE FIRST WORLD WAR (HU 70114) Women munitions workers' football team from the AEC Munitions Factory at Beckton, London. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205124205","","","https://media.iwm.org.uk/ciim5/20/655/large_000000.jpg","476000","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","153420317"
"20200327144852/U9pCOxR+B+3VhqgA84V6fw==","Mon Oct 16 13:01:29 GMT 2023","","WAR MEMORIALS IN BRITAIN AFTER THE FIRST WORLD WAR (Q 48872) War Memorial at Kew. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205084585","","","https://media.iwm.org.uk/ciim5/315/980/large_000000.jpg","473600","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","217537164"
"20200327203854/+oVS4LYEGle/Y29GOPFtZA==","Mon Oct 16 13:06:04 GMT 2023","","WAR MEMORIALS IN BRITAIN AFTER THE FIRST WORLD WAR (Q 48871) War Memorial at Richmond. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205084582","","","https://media.iwm.org.uk/ciim5/315/979/large_000000.jpg","488800","/host_dir/MW-TNAUKGWA-41399-000-20200327203254-www.gov.uk-00036.warc.gz","142941992"
"20200327143819/JSpnCrY8t+2JAsAfJb6MLw==","Mon Oct 16 13:13:42 GMT 2023","","THE IMPERIAL WAR MUSEUM DURING THE SECOND WORLD WAR (MH 127) Air raid damage to the Naval Gallery at the Imperial War Museum, London, 31 January 1941. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205219844","","","https://media.iwm.org.uk/ciim5/61/89/large_000000.jpg","477600","/host_dir/MW-TNAUKGWA-41399-000-20200327142321-www.gov.uk-00009.warc.gz","495097909"
"20200327144512/JdZGoXO5RriE3/39iwvpzA==","Mon Oct 16 13:01:04 GMT 2023","","THE CABINET WAR ROOMS (HU 43777) George Rance, the Clerk and Custodian of the Cabinet War Rooms, adjusting the weather indicator boards in the main corridor of the Cabinet War Rooms. When a heavy raid was in progress above, Rance, as a private joke, would put up the board bearing the word 'Windy'. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205094719","","","https://media.iwm.org.uk/ciim5/16/787/large_000000.jpg","501600","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","109517075"
"20200327211456/KyG2Uwa1ATvW88+r/9I+2A==","Mon Oct 16 13:05:16 GMT 2023","","THE ROAD TO WAR (Q 81763) German troop train Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205092979","","","https://media.iwm.org.uk/ciim5/299/329/large_000000.jpg","405600","/host_dir/MW-TNAUKGWA-41399-000-20200327211003-www.gov.uk-00038.warc.gz","172905477"
"20200327215059/9PJjGJEjBvx/LzZlsR0QKw==","Mon Oct 16 12:54:04 GMT 2023","","HISTORY OF THE IMPERIAL WAR MUSEUM, FROM MARCH 1917 (Q 2943) Various items of war materiel, collected and stored at the National War Museum Store at Hesdin, September 1917. The National War Museum was renamed Imperial War Museum in November 1917. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205079884","","","https://media.iwm.org.uk/ciim5/229/585/large_000000.jpg","469600","/host_dir/MW-TNAUKGWA-41399-000-20200327214317-www.gov.uk-00040.warc.gz","301494872"
"20200327171532/rKP4ou2EzwBl342BzU2Kmg==","Mon Oct 16 12:59:24 GMT 2023","","War pigeon illustration","","","https://cdn.nationalarchives.gov.uk/blog/wp-content/uploads/2015/09/01160009/WO-208_3508-_2_1917-1918-image-for-blog-header1.jpg","106951","/host_dir/MW-TNAUKGWA-41399-000-20200327171311-www.gov.uk-00023.warc.gz","61735077"
"20200327212431/FzAt5MotG9oqHYlxAiEuTg==","Mon Oct 16 13:06:11 GMT 2023","","ANIMALS IN WAR 1914 - 1918 (Q 55233) Carrier pigeons: French troops with two carrier pigeons strapped in their travelling basket. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205194800","","","https://media.iwm.org.uk/ciim5/37/811/large_000000.jpg","449600","/host_dir/MW-TNAUKGWA-41399-000-20200327211003-www.gov.uk-00038.warc.gz","406655663"
"20200327211934/VEyAKzb5gTH53UJS9AjjcQ==","Mon Oct 16 13:05:46 GMT 2023","","ANIMALS IN WAR 1914 - 1918 (Q 54973) Transport Animals: Dromedary camels fitted with cacolet panniers carry wounded men to safety on the North West Frontier of India. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205194795","","","https://media.iwm.org.uk/ciim5/37/806/large_000000.jpg","380000","/host_dir/MW-TNAUKGWA-41399-000-20200327211003-www.gov.uk-00038.warc.gz","303883583"
"20200327210110/tBeJVDQtQEY+t+fZ88Q26g==","Mon Oct 16 12:38:27 GMT 2023","","ANIMALS IN WAR 1914 - 1918 (Q 47559) Pets and Mascots: 'Tirpitz' the pig after being captured and adopted by the British. The pig started service life on board the German light cruiser DRESDEN which was sunk by the Royal Navy on 14 May 1915. A sailor from HMS GLASGOW noticed 'Tirpitz' swimming in the water and after nearly being drowned by the frightened pig , succeeded in rescuing him. 'Tirpitz' served as the mascot of HMS GLASGOW f... Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205022108","","","https://media.iwm.org.uk/ciim5/8/445/large_000000.jpg","624000","/host_dir/MW-TNAUKGWA-41399-000-20200327205205-www.gov.uk-00037.warc.gz","270291481"
"20200327200725/0MeRtALD6VktY+TrJJJ9Dg==","Mon Oct 16 12:55:12 GMT 2023","","HISTORY OF THE IMPERIAL WAR MUSEUM (Q 64060) Preparations for war: A barrage balloon is inflated in front of the Imperial War Museum at Lambeth Road, London. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205207283","","","https://media.iwm.org.uk/ciim5/50/252/large_000000.jpg","485600","/host_dir/MW-TNAUKGWA-41399-000-20200327195557-www.gov.uk-00034.warc.gz","223422491"
"20200327211631//cgcAM/DB3mQ5UxDJZ4uRg==","Mon Oct 16 13:05:26 GMT 2023","","GERMANY BEFORE THE FIRST WORLD WAR (Q 81727) A military parade along Unter den Linden, Berlin shortly before the First World War. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205022468","","","https://media.iwm.org.uk/ciim5/8/767/large_000000.jpg","433600","/host_dir/MW-TNAUKGWA-41399-000-20200327211003-www.gov.uk-00038.warc.gz","207610623"
"20200327144952/ObLyzF4BwW9f7ag0oboD1w==","Mon Oct 16 13:01:35 GMT 2023","","HISTORY OF THE IMPERIAL WAR MUSEUM (Q 61181) Exterior view of the Imperial War Museum in its new quarters at Lambeth Road, London, 1937. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205192878","","","https://www.iwm.org.uk/sites/default/files/2017-11/large_0000008.jpg","488800","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","254053958"
"20200327220004/P+h4SFcRQVOmgkoZkghivg==","Mon Oct 16 13:14:19 GMT 2023","","HISTORY OF THE IMPERIAL WAR MUSEUM (MH 10164) The unveiling ceremony of the 15-inch guns from HMS RAMILLIES and HMS RESOLUTION outside the Imperial War Museum, 8 August 1968. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205191015","","","https://media.iwm.org.uk/ciim5/34/248/large_000000.jpg","497600","/host_dir/MW-TNAUKGWA-41399-000-20200327215614-www.gov.uk-00041.warc.gz","123304972"
"20200327232032/zncOd8vCTmc6ueSD1RctiQ==","Mon Oct 16 12:37:40 GMT 2023","","IMPERIAL WAR MUSEUM GALLERIES AT THE CRYSTAL PALACE, 1920-1924 (Q 31352) An exhibit at the Imperial War Museum, Crystal Palace of a collection of war trophies. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205076683","","","https://media.iwm.org.uk/ciim5/298/66/large_000000.jpg","483200","/host_dir/MW-TNAUKGWA-41399-000-20200327231240-www.gov.uk-00048.warc.gz","362237344"
"20200327131920/GifgR4fNbLVhE5mB24DItg==","Mon Oct 16 13:04:23 GMT 2023","Periodicals formerly held by the British Transport Historical Records Office library","","","","https://media.nationalarchives.gov.uk/files/2015/07/zper-2034-148.jpg","135000","/host_dir/MW-TNAUKGWA-41399-000-20200327130729-www.gov.uk-00003.warc.gz","398587640"
