id,index_time,author,description,keywords,license_url,content,url,source_file_path,source_file_offset,domain,text,content_type_full
"20200327165910/aGuIHx11rDoKIuU0iae3qA==","Mon Oct 23 09:20:56 GMT 2023","","","","","","http://learnenglishkids.britishcouncil.org/sites/kids/files/image/RS6376_London%20col-web.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327165341-www.gov.uk-00022.warc.gz","62149393","britishcouncil.org","","image/jpeg; version=1.01"
"20200327121813/fDaWVNzS1xxPMAQZosF5oA==","Mon Oct 23 08:37:55 GMT 2023","Jason Hawkes","London Array","","","","https://ore.catapult.org.uk/app/uploads/2017/09/London-Array-courtesy-of-The-Crown-Estate.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327115745-www.gov.uk-00000.warc.gz","149914118","catapult.org.uk","","image/jpeg"
"20230908212331/Rjv1ATDbrAinRsSCNP6kBA==","Mon Oct 23 08:22:08 GMT 2023","www.studyshots.co.uk","Imperial College London Clinical Imaging Facility, London Hammersmith","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2018/10/kisspeptin-at-rest-4-552x336.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908211550-www.gov.uk-00030.warc.gz","357082864","nihr.ac.uk","","image/jpeg; version=1.01"
"20200327173721/gaDog1QpN//Rz6Fc83RCwQ==","Mon Oct 23 08:45:35 GMT 2023","","","","","","https://www.ofcom.org.uk/__data/assets/image/0022/90922/callboxes-thumb.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327173138-www.gov.uk-00025.warc.gz","167005664","ofcom.org.uk","","image/jpeg"
"20230908230810/KG3iXsV1ZvprMJZCryZtEA==","Mon Oct 23 09:19:26 GMT 2023","","Morning commuters in London.","","","","https://cp.catapult.org.uk/wp-content/uploads/2022/09/shutterstock_63502945-scaled.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908230215-www.gov.uk-00042.warc.gz","201659950","catapult.org.uk","","image/jpeg; version=1.01"
"20230908212312/nHiq6yjsWOtgt0QfuVnbDg==","Mon Oct 23 08:22:06 GMT 2023","Layton Thompson","Dr Annemarie Sykes, Clinical Research Fellow, working in the Respiratory Medicine Laboratories on the 3rd floor, St Mary’s Campus.","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2022/04/flu-image-552x336.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908211550-www.gov.uk-00030.warc.gz","348481051","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908212314/xNkCRGcBi7g7PtKCdMBu/A==","Mon Oct 23 08:22:07 GMT 2023","Layton Thompson","Prof. Peter Openshaw.","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2020/04/icl_oct2809_047_064509_001-552x336.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908211550-www.gov.uk-00030.warc.gz","349234743","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908212317/qvTp5byaHJPJOfiZfnnWjg==","Mon Oct 23 08:22:07 GMT 2023","Layton Thompson","","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2020/10/icl_oct2809_078_064572_001-552x336.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908211550-www.gov.uk-00030.warc.gz","350604198","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908212321/7o+jg4thkab+lEdF4IhRwg==","Mon Oct 23 08:22:07 GMT 2023","Layton Thompson","","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2017/10/imperialcollege-microscope_slide-552x336.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908211550-www.gov.uk-00030.warc.gz","352653236","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908220112/ov+Dkhx3P1PrD9HuoiX6GQ==","Mon Oct 23 08:47:49 GMT 2023","Layton Thompson","","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2016/06/ICL_OCT2809_079-1200x627.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908215649-www.gov.uk-00033.warc.gz","123665606","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908160309/mFmjDtpyslNtAOI3bRrLeQ==","Mon Oct 23 09:03:00 GMT 2023","©VisitBritain/Daniela Luquini","The Bett Show 2017, ExCeL London, London, England.","","","","https://www.visitbritain.org/sites/default/files/vb-corporate/Images/basic-page/vb34165390.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908155726-www.gov.uk-00008.warc.gz","372904758","visitbritain.org","","image/jpeg; version=1.01"
